CUSTKEY,NAME,ADDRESS,NATIONKEY,PHONE,ACCTBAL,MKTSEGMENT,COMMENT,ORDERKEY,ORDERSTATUS,TOTALPRICE,ORDERDATE,ORDERPRIORITY,CLERK,SHIPPRIORITY,PARTKEY,SUPPKEY,LINENUMBER,QUANTITY,EXTENDEDPRICE,DISCOUNT,TAX,RETURNFLAG,LINESTATUS,SHIPDATE,COMMITDATE,RECEIPTDATE,SHIPINSTRUCT,SHIPMODE,REVENUE1,REVENUE2,REGIONKEY,REGION_NAME,REGION_COMMENT
1,Customer#000000001,"IVhzIApeRb ot,c,E",15,25-989-741-2988,711.56,BUILDING,"to the even, regular platelets. regular, ironic epitaphs nag e",454791,F,74602.81,703641600.0,1-URGENT,Clerk#000000815,0,52971,487,2,13,25011.61,0.1,0.02,A,F,704764800.0,706233600.0,705456000.0,NONE,REG AIR,2501.161,22510.449,0,AFRICA,lar deposits. blithely final packages cajole. regular waters are final requests. regular accounts are according to 
5917,Customer#000005917,6cOzFocFnvoHk9ZQehp2V1bXUWpxPD6yrLTO6meR,15,25-366-202-2188,-858.19,BUILDING,uriously regular theodolites cajole carefully! pending pack,215109,F,74829.09,772934400.0,4-NOT SPECIFIED,Clerk#000000304,0,17863,365,3,15,26712.9,0.03,0.01,A,F,778291200.0,776044800.0,779414400.0,DELIVER IN PERSON,SHIP,801.3870000000001,25911.513,0,AFRICA,lar deposits. blithely final packages cajole. regular waters are final requests. regular accounts are according to 
12182,Customer#000012182,vMByZV0dPMYuB54YB6Yqb,15,25-855-438-2954,24.15,FURNITURE,st quickly above the pending requests. blithely express accounts across the fluffily final pearls are rut,447264,F,168527.42,777081600.0,3-MEDIUM,Clerk#000000579,0,55392,403,3,28,37726.92,0.08,0.03,A,F,782784000.0,779846400.0,785376000.0,TAKE BACK RETURN,TRUCK,3018.1536,34708.7664,0,AFRICA,lar deposits. blithely final packages cajole. regular waters are final requests. regular accounts are according to 
682,Customer#000000682,y5J0HJVI6Mb k4rXTAPbxE9aw,15,25-233-924-7389,7420.6,AUTOMOBILE,"he bold, even accounts breach",82915,O,151025.83,841881600.0,1-URGENT,Clerk#000000715,0,5005,6,2,13,11830.0,0.08,0.06,N,O,849830400.0,846460800.0,850694400.0,NONE,REG AIR,946.4,10883.6,0,AFRICA,lar deposits. blithely final packages cajole. regular waters are final requests. regular accounts are according to 
34,Customer#000000034,"Q6G9wZ6dnczmtOx509xgE,M2KV",15,25-344-968-5422,8589.7,HOUSEHOLD,"nder against the even, pending accounts. even",193030,F,322439.88,708048000.0,4-NOT SPECIFIED,Clerk#000000839,0,107973,484,4,49,97067.53,0.07,0.05,R,F,711072000.0,715478400.0,712454400.0,TAKE BACK RETURN,RAIL,6794.727100000001,90272.8029,0,AFRICA,lar deposits. blithely final packages cajole. regular waters are final requests. regular accounts are according to 
34,Customer#000000034,"Q6G9wZ6dnczmtOx509xgE,M2KV",15,25-344-968-5422,8589.7,HOUSEHOLD,"nder against the even, pending accounts. even",554115,F,229562.2,718761600.0,1-URGENT,Clerk#000000506,0,18077,579,1,39,38807.73,0.0,0.05,R,F,722908800.0,726278400.0,725068800.0,NONE,SHIP,0.0,38807.73,0,AFRICA,lar deposits. blithely final packages cajole. regular waters are final requests. regular accounts are according to 
34,Customer#000000034,"Q6G9wZ6dnczmtOx509xgE,M2KV",15,25-344-968-5422,8589.7,HOUSEHOLD,"nder against the even, pending accounts. even",576263,F,278030.48,762566400.0,2-HIGH,Clerk#000000899,0,135388,415,2,36,51241.68,0.01,0.02,R,F,763948800.0,769392000.0,764553600.0,TAKE BACK RETURN,MAIL,512.4168,50729.2632,0,AFRICA,lar deposits. blithely final packages cajole. regular waters are final requests. regular accounts are according to 
34,Customer#000000034,"Q6G9wZ6dnczmtOx509xgE,M2KV",15,25-344-968-5422,8589.7,HOUSEHOLD,"nder against the even, pending accounts. even",576263,F,278030.48,762566400.0,2-HIGH,Clerk#000000899,0,170796,797,5,6,11200.74,0.1,0.01,R,F,763257600.0,769651200.0,763603200.0,TAKE BACK RETURN,RAIL,1120.074,10080.666,0,AFRICA,lar deposits. blithely final packages cajole. regular waters are final requests. regular accounts are according to 
4054,Customer#000004054,WSoyebZ1ND5bIzFMuQG6ZsuExxv8XiGRaqIMHo,15,25-459-538-9821,2552.9,FURNITURE,fully even ideas use furiously!,295492,F,140653.51,768873600.0,4-NOT SPECIFIED,Clerk#000000804,0,100796,797,4,44,79058.76,0.01,0.03,R,F,778809600.0,773020800.0,780451200.0,TAKE BACK RETURN,SHIP,790.5876,78268.1724,0,AFRICA,lar deposits. blithely final packages cajole. regular waters are final requests. regular accounts are according to 
13744,Customer#000013744,"6OJjUXuGBHuO6AxTcQtnZN6ZqPGMFG,VCtJ",15,25-989-636-1960,837.15,MACHINERY,s about the packages are slyly according to the acc,47748,O,249746.02,826761600.0,1-URGENT,Clerk#000000648,0,127833,346,2,45,83737.35,0.02,0.03,N,O,831772800.0,831254400.0,832377600.0,NONE,TRUCK,1674.747,82062.603,0,AFRICA,lar deposits. blithely final packages cajole. regular waters are final requests. regular accounts are according to 
